"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"A.J. Reed","CHW","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","69","157","0.00","3.21","-3.21","7.19","7.80","16246","607223"
"Jeremy Walker","ATL","5.79","3.86","1.50","0.00","15.8%","10.5%","5.3%",".265","1.39",".321","84.6%","43","73","106","1.93","3.21","-1.29","4.71","4.87","19981","668683"
"Max Stassi","HOU","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","71","71","0.00","3.21","-3.21","3.21","-0.73","10059","545358"
"Steve Hathaway","ARI","9.20","3.68","2.50","0.61","23.1%","9.2%","13.8%",".305","1.64",".395","70.8%","112","77","87","4.91","3.21","1.69","3.58","3.60","15293","643355"
"Tony Zych","SEA","9.91","4.21","2.35","0.37","25.9%","11.0%","14.9%",".213","1.25",".293","79.1%","67","76","94","2.72","3.22","-0.49","4.06","3.71","12876","543964"
"Wander Suero","WSN","9.68","3.10","3.12","0.68","25.8%","8.3%","17.5%",".239","1.24",".315","69.5%","96","75","94","4.16","3.23","0.93","4.01","3.71","15855","593833"
"Lance McCullers Jr.","HOU","10.10","3.53","2.86","0.69","26.6%","9.3%","17.3%",".234","1.27",".313","72.8%","90","78","78","3.67","3.24","0.43","3.31","3.57","14120","621121"
"Adam Liberatore","LAD","9.44","3.65","2.58","0.61","25.3%","9.8%","15.5%",".223","1.23",".293","74.3%","92","82","94","3.55","3.25","0.31","3.79","3.56","10637","571893"
"Carlos Carrasco","CLE","10.31","2.04","5.05","1.11","28.3%","5.6%","22.7%",".239","1.13",".309","74.9%","82","76","72","3.59","3.25","0.34","3.07","3.17","6632","471911"
"Keone Kela","- - -","11.03","3.44","3.21","0.92","30.1%","9.4%","20.7%",".199","1.11",".268","77.4%","72","75","83","3.23","3.26","-0.03","3.51","3.14","14696","605309"
"LaTroy Hawkins","- - -","7.91","1.63","4.86","0.93","21.0%","4.3%","16.7%",".284","1.32",".342","77.1%","75","79","80","3.26","3.26","0.00","3.14","2.88","729","115629"
"Koji Uehara","- - -","11.05","2.21","5.00","1.24","30.7%","6.1%","24.5%",".205","1.01",".265","74.4%","75","78","87","3.25","3.27","-0.02","3.65","2.91","9227","493157"
