"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid","mlbamid"
"Carlos Rodon","- - -","10.72","3.10","3.46","0.86","29.0%","8.4%","20.6%",".205","1.11",".275","74.3%","79","76","90","3.33","3.19","0.13","3.76","3.56","16137","607074"
"Drey Jameson","ARI","8.88","2.59","3.43","0.74","24.5%","7.1%","17.3%",".222","1.11",".281","95.2%","36","82","75","1.48","3.19","-1.72","2.98","3.27","26260","686753"
"Scott Oberg","COL","9.03","2.75","3.29","0.71","25.5%","7.8%","17.7%",".203","1.04",".260","79.5%","49","71","78","2.35","3.20","-0.84","3.35","3.37","13911","623184"
"Hayden Wesneski","CHC","9.00","1.91","4.71","0.82","25.0%","5.3%","19.7%",".197","0.94",".244","83.9%","54","82","91","2.18","3.20","-1.02","3.64","3.32","27581","669713"
"Ron Marinaccio","NYY","11.45","4.91","2.33","0.41","30.9%","13.3%","17.7%",".146","1.05",".215","81.3%","53","80","103","2.05","3.20","-1.16","4.06","3.42","23488","676760"
"Jose Peraza","- - -","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".429","1.80",".429","66.7%","116","70","126","5.40","3.21","2.19","5.60","6.45","13593","606299"
"Brian Schlitter","OAK","5.59","3.72","1.50","0.00","14.6%","9.8%","4.9%",".324","1.66",".387","75.0%","84","72","102","3.72","3.21","0.51","4.65","4.69","3599","489295"
"Ian Desmond","COL","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".250","1.00",".250","100.0%","0","69","117","0.00","3.21","-3.21","5.20","6.49","6885","435622"
"Caleb Joseph","ARI","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","74","106","0.00","3.21","-3.21","4.71","4.11","7087","543376"
"Taylor Davis","CHC","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".500","3.00",".500","100.0%","0","72","117","0.00","3.21","-3.21","5.20","5.17","12782","543089"
"Jacob Stallings","PIT","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","72","163","0.00","3.21","-3.21","7.19","7.80","13723","607732"
"Jose Rondon","CHW","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".400","2.00",".400","100.0%","0","69","157","0.00","3.21","-3.21","7.19","6.49","14140","602922"
"Kyle Farmer","CIN","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".200","0.75",".200","100.0%","0","70","140","0.00","3.21","-3.21","6.20","6.49","14813","571657"
"A.J. Reed","CHW","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","69","157","0.00","3.21","-3.21","7.19","7.80","16246","607223"
"Jeremy Walker","ATL","5.79","3.86","1.50","0.00","15.8%","10.5%","5.3%",".265","1.39",".321","84.6%","43","73","106","1.93","3.21","-1.29","4.71","4.87","19981","668683"
"Max Stassi","HOU","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".000","0.00",".000","100.0%","0","71","71","0.00","3.21","-3.21","3.21","-0.73","10059","545358"
"Robert Suarez","SDP","11.52","3.97","2.90","0.76","31.9%","11.0%","20.9%",".175","1.05",".248","84.7%","59","81","82","2.27","3.22","-0.95","3.24","2.99","30115","663158"
"Walker Buehler","LAD","9.70","2.20","4.40","0.94","27.0%","6.1%","20.8%",".209","1.02",".265","76.1%","72","76","81","2.95","3.22","-0.28","3.46","3.59","19374","621111"
"Clayton Kershaw","LAD","9.57","1.70","5.63","1.09","26.9%","4.8%","22.1%",".216","1.00",".269","79.2%","69","76","74","2.83","3.23","-0.40","3.13","3.36","2036","477132"
"Tyler Rogers","SFG","6.54","2.00","3.27","0.44","17.5%","5.4%","12.2%",".244","1.16",".290","73.7%","72","81","92","2.94","3.23","-0.30","3.85","3.64","15541","643511"
"Adam Ottavino","- - -","11.64","4.22","2.76","0.71","31.0%","11.2%","19.7%",".200","1.20",".287","79.8%","64","75","87","2.82","3.23","-0.41","3.70","3.40","1247","493603"
"Max Fried","ATL","8.83","2.36","3.74","0.79","24.1%","6.4%","17.7%",".235","1.15",".295","77.0%","71","77","79","3.06","3.24","-0.18","3.35","3.69","13743","608331"
"Aaron Nola","PHI","10.40","2.36","4.40","1.01","28.5%","6.5%","22.1%",".218","1.08",".285","74.8%","82","75","77","3.47","3.24","0.23","3.25","3.40","16149","605400"
"Kody Clemens","DET","1.29","1.29","1.00","0.00","3.0%","3.0%","0.0%",".375","1.86",".387","76.9%","101","83","142","3.86","3.26","0.60","5.58","5.80","20572","665019"
"Scott Barlow","KCR","10.70","3.38","3.17","0.85","28.6%","9.0%","19.6%",".223","1.21",".301","78.9%","70","78","85","3.10","3.26","-0.16","3.65","3.40","14993","605130"
"Tyler Glasnow","- - -","12.10","3.27","3.69","1.14","33.5%","9.1%","24.4%",".196","1.08",".270","78.5%","79","79","70","3.27","3.26","0.01","3.02","3.21","14374","607192"
"Raisel Iglesias","- - -","11.66","2.36","4.95","1.26","32.3%","6.5%","25.8%",".208","1.04",".278","79.9%","66","76","74","2.88","3.27","-0.39","3.12","2.74","17130","628452"
"Joakim Soria","- - -","10.36","2.76","3.76","0.95","27.7%","7.4%","20.3%",".222","1.16",".290","70.6%","90","76","90","3.90","3.27","0.63","3.92","3.43","6941","465657"
"Cory Mazzoni","CHC","7.27","5.19","1.40","0.00","19.4%","13.9%","5.6%",".161","1.15",".208","90.0%","26","81","109","1.04","3.28","-2.24","4.42","4.58","12537","543508"
"Josh Taylor","BOS","11.35","3.87","2.93","0.79","29.4%","10.0%","19.4%",".237","1.33",".331","76.5%","79","75","84","3.69","3.28","0.41","3.70","3.56","17359","657031"
"Jose Alvarado","- - -","12.06","5.71","2.11","0.52","30.6%","14.5%","16.1%",".206","1.40",".307","72.1%","85","78","84","3.56","3.28","0.28","3.58","3.76","17780","621237"
"Nick Burdi","PIT","16.78","5.11","3.29","1.46","38.3%","11.7%","26.7%",".302","1.86",".500","44.6%","223","77","84","9.49","3.29","6.20","3.66","3.05","16074","595897"
"Kevin Shackelford","CIN","7.87","4.50","1.75","0.00","17.1%","9.8%","7.3%",".361","2.12",".448","55.6%","191","78","127","7.87","3.29","4.59","5.14","4.63","11012","594992"
"Blake Snell","- - -","11.69","3.66","3.19","1.01","31.8%","10.0%","21.8%",".208","1.17",".289","78.5%","80","79","78","3.26","3.29","-0.03","3.31","3.51","13543","605483"
"John Brebbia","- - -","9.57","2.79","3.43","0.86","25.1%","7.3%","17.8%",".242","1.25",".310","74.7%","88","82","104","3.56","3.29","0.27","4.35","3.70","12777","605154"
"Drew Rasmussen","- - -","8.30","2.46","3.37","0.80","22.8%","6.8%","16.0%",".218","1.10",".266","74.9%","78","84","88","3.03","3.30","-0.27","3.58","3.79","25385","656876"
"Aaron Loup","- - -","8.84","2.80","3.16","0.59","23.3%","7.4%","16.0%",".228","1.17",".291","71.5%","70","79","90","2.85","3.30","-0.45","3.73","3.51","10343","571901"
"Taylor Cole","LAA","9.14","3.70","2.47","0.51","24.3%","9.8%","14.5%",".240","1.30",".316","65.2%","102","74","85","4.62","3.31","1.31","3.79","3.92","11964","518566"
"Richard Bleier","- - -","5.57","1.35","4.13","0.55","15.0%","3.6%","11.3%",".273","1.22",".311","72.0%","81","76","84","3.50","3.31","0.19","3.62","3.48","7803","542947"
"Alexis Diaz","CIN","11.73","4.66","2.52","0.71","32.5%","12.9%","19.6%",".129","0.96",".178","81.4%","43","79","99","1.84","3.32","-1.48","3.97","3.29","21132","664747"
"Victor Gonzalez","LAD","9.05","3.40","2.67","0.49","23.8%","8.9%","14.9%",".216","1.19",".282","81.1%","66","77","85","2.75","3.32","-0.57","3.64","3.54","16408","624647"
"Colin Holderman","- - -","7.62","4.45","1.71","0.00","20.3%","11.9%","8.5%",".200","1.20",".263","63.2%","96","84","120","3.81","3.32","0.49","4.79","4.37","22361","670059"
"Jordan Romano","TOR","11.46","3.44","3.33","0.97","31.1%","9.3%","21.8%",".192","1.08",".261","81.8%","60","78","81","2.58","3.33","-0.75","3.38","3.09","16122","605447"
"Rafael Montero","- - -","9.20","2.79","3.29","0.77","24.7%","7.5%","17.2%",".228","1.17",".291","66.3%","91","79","90","3.78","3.33","0.45","3.79","3.49","12760","606160"
"Chad Green","NYY","11.34","2.14","5.30","1.30","31.7%","6.0%","25.7%",".213","1.03",".280","76.7%","74","76","82","3.25","3.33","-0.09","3.53","2.90","15552","643338"
"Kevin Gausman","- - -","9.77","2.22","4.39","1.06","26.0%","5.9%","20.1%",".248","1.22",".315","73.6%","89","79","83","3.71","3.34","0.38","3.48","3.60","14107","592332"
"Tyler Matzek","ATL","10.35","5.04","2.05","0.46","27.4%","13.4%","14.1%",".183","1.22",".253","75.7%","68","81","103","2.92","3.34","-0.42","4.30","4.07","10058","554431"
"Matt Barnes","BOS","13.13","4.59","2.86","1.00","33.8%","11.8%","22.0%",".211","1.30",".311","73.7%","86","79","79","3.88","3.36","0.52","3.36","3.22","12863","598264"
